task,classifier,feature_set,fold,n_train,n_test,auc,bal_acc,f1
VA1,logreg,w2v2,2,35,9,0.8500000000000001,0.9,0.8888888888888888
VA1,logreg,w2v2,3,35,9,1.0,1.0,1.0
VA1,logreg,w2v2,4,36,8,1.0,0.875,0.8571428571428571
VA1,rf,w2v2,0,35,9,0.7,0.55,0.6
VA1,rf,w2v2,1,35,9,0.8,0.65,0.7272727272727273
VA1,rf,w2v2,2,35,9,0.6,0.525,0.6666666666666666
VA1,rf,w2v2,3,35,9,1.0,0.875,0.9090909090909091
VA1,rf,w2v2,4,36,8,0.75,0.75,0.6666666666666666
VA1,gbm,w2v2,0,35,9,0.6,0.625,0.7692307692307693
VA1,gbm,w2v2,1,35,9,0.7,0.7,0.5714285714285714
VA1,gbm,w2v2,2,35,9,0.6,0.55,0.6
VA1,gbm,w2v2,3,35,9,0.95,0.775,0.8
VA1,gbm,w2v2,4,36,8,0.8125,0.625,0.6666666666666666
VA1,xgb,w2v2,0,35,9,0.6,0.65,0.7272727272727273
VA1,xgb,w2v2,1,35,9,0.7,0.65,0.7272727272727273
VA1,xgb,w2v2,2,35,9,0.55,0.525,0.6666666666666666
VA1,xgb,w2v2,3,35,9,1.0,1.0,1.0
VA1,xgb,w2v2,4,36,8,0.75,0.625,0.6666666666666666
VA2,logreg,egemaps,0,35,9,1.0,0.9,0.8888888888888888
VA2,logreg,egemaps,1,35,9,1.0,0.8,0.75
VA2,logreg,egemaps,2,35,9,1.0,1.0,1.0
VA2,logreg,egemaps,3,35,9,0.6499999999999999,0.55,0.5
VA2,logreg,egemaps,4,36,8,1.0,0.875,0.8571428571428571
VA2,rf,egemaps,0,35,9,1.0,0.9,0.8888888888888888
VA2,rf,egemaps,1,35,9,1.0,0.9,0.8888888888888888
VA2,rf,egemaps,2,35,9,0.95,0.9,0.8888888888888888
VA2,rf,egemaps,3,35,9,0.825,0.8,0.8
VA2,rf,egemaps,4,36,8,1.0,0.875,0.8571428571428571
VA2,gbm,egemaps,0,35,9,0.9,0.9,0.8888888888888888
VA2,gbm,egemaps,1,35,9,1.0,1.0,1.0
VA2,gbm,egemaps,2,35,9,0.925,0.875,0.9090909090909091
VA2,gbm,egemaps,3,35,9,0.6,0.675,0.6666666666666666
VA2,gbm,egemaps,4,36,8,0.875,0.75,0.6666666666666666
VA2,xgb,egemaps,0,35,9,1.0,0.9,0.8888888888888888
VA2,xgb,egemaps,1,35,9,1.0,0.9,0.8888888888888888
VA2,xgb,egemaps,2,35,9,1.0,0.875,0.9090909090909091
VA2,xgb,egemaps,3,35,9,0.7,0.8,0.8
VA2,xgb,egemaps,4,36,8,0.875,0.75,0.75
VA2,logreg,w2v2,0,35,9,1.0,0.8,0.75
VA2,logreg,w2v2,1,35,9,0.95,0.75,0.8333333333333334
VA2,logreg,w2v2,2,35,9,0.95,0.9,0.8888888888888888
VA2,logreg,w2v2,3,35,9,0.7000000000000001,0.65,0.5714285714285714
VA2,logreg,w2v2,4,36,8,1.0,0.875,0.8888888888888888
VA2,rf,w2v2,0,35,9,0.675,0.8,0.75
VA2,rf,w2v2,1,35,9,0.8,0.55,0.6
VA2,rf,w2v2,2,35,9,1.0,1.0,1.0
VA2,rf,w2v2,3,35,9,0.6,0.575,0.6
VA2,rf,w2v2,4,36,8,0.875,0.875,0.8888888888888888
VA2,gbm,w2v2,0,35,9,0.675,0.675,0.6666666666666666
VA2,gbm,w2v2,1,35,9,0.875,0.8,0.75
VA2,gbm,w2v2,2,35,9,0.9,0.65,0.7272727272727273
VA2,gbm,w2v2,3,35,9,0.45000000000000007,0.45,0.4444444444444444
VA2,gbm,w2v2,4,36,8,0.84375,0.75,0.75
VA2,xgb,w2v2,0,35,9,0.6499999999999999,0.675,0.6666666666666666
VA2,xgb,w2v2,1,35,9,0.85,0.8,0.75
VA2,xgb,w2v2,2,35,9,0.8500000000000001,0.65,0.7272727272727273
VA2,xgb,w2v2,3,35,9,0.35,0.45,0.4444444444444444
VA2,xgb,w2v2,4,36,8,0.9375,0.875,0.8888888888888888
VE1,logreg,egemaps,0,35,9,1.0,1.0,1.0
VE1,logreg,egemaps,1,35,9,1.0,1.0,1.0
VE1,logreg,egemaps,2,35,9,0.85,0.8,0.75
VE1,logreg,egemaps,3,35,9,1.0,1.0,1.0
VE1,logreg,egemaps,4,36,8,1.0,1.0,1.0
VE1,rf,egemaps,0,35,9,1.0,1.0,1.0
VE1,rf,egemaps,1,35,9,1.0,0.875,0.9090909090909091
VE1,rf,egemaps,2,35,9,1.0,1.0,1.0
VE1,rf,egemaps,3,35,9,1.0,1.0,1.0
VE1,rf,egemaps,4,36,8,1.0,1.0,1.0
VE1,gbm,egemaps,0,35,9,1.0,0.875,0.9090909090909091
VE1,gbm,egemaps,1,35,9,0.9,0.625,0.7692307692307693
VE1,gbm,egemaps,2,35,9,0.95,0.75,0.8333333333333334
VE1,gbm,egemaps,3,35,9,1.0,1.0,1.0
VE1,gbm,egemaps,4,36,8,1.0,0.875,0.8571428571428571
VE1,xgb,egemaps,0,35,9,0.9,0.675,0.6666666666666666
VE1,xgb,egemaps,1,35,9,1.0,0.875,0.9090909090909091
VE1,xgb,egemaps,2,35,9,1.0,1.0,1.0
VE1,xgb,egemaps,3,35,9,1.0,1.0,1.0
VE1,xgb,egemaps,4,36,8,1.0,1.0,1.0
VE1,logreg,w2v2,0,35,9,0.9,0.775,0.8
VE1,logreg,w2v2,1,35,9,0.85,0.75,0.8333333333333334
VE1,logreg,w2v2,2,35,9,0.7500000000000001,0.775,0.8
VE1,logreg,w2v2,3,35,9,1.0,1.0,1.0
VE1,logreg,w2v2,4,36,8,0.875,0.875,0.8571428571428571
VE1,rf,w2v2,0,35,9,0.95,0.775,0.8
VE1,rf,w2v2,1,35,9,0.8,0.75,0.8333333333333334
VE1,rf,w2v2,2,35,9,0.65,0.55,0.6
VE1,rf,w2v2,3,35,9,1.0,1.0,1.0
VE1,rf,w2v2,4,36,8,0.9375,0.875,0.8571428571428571
VE1,gbm,w2v2,0,35,9,0.85,0.65,0.7272727272727273
VE1,gbm,w2v2,1,35,9,0.525,0.55,0.6
VE1,gbm,w2v2,2,35,9,0.75,0.675,0.6666666666666666
VE1,gbm,w2v2,3,35,9,1.0,0.9,0.8888888888888888
VE1,gbm,w2v2,4,36,8,0.625,0.5,0.5
VE1,xgb,w2v2,0,35,9,0.75,0.775,0.8
VE1,xgb,w2v2,1,35,9,0.9,0.65,0.7272727272727273
VE1,xgb,w2v2,2,35,9,0.7000000000000001,0.775,0.8
VE1,xgb,w2v2,3,35,9,1.0,0.9,0.8888888888888888
VE1,xgb,w2v2,4,36,8,1.0,0.875,0.8571428571428571
VE2,logreg,egemaps,0,34,9,1.0,0.75,0.8333333333333334
VE2,logreg,egemaps,1,34,9,0.8,0.775,0.75
VE2,logreg,egemaps,2,35,8,1.0,0.875,0.8571428571428571
VE2,logreg,egemaps,3,34,9,0.85,0.675,0.6666666666666666
VE2,logreg,egemaps,4,35,8,1.0,1.0,1.0
VE2,rf,egemaps,0,34,9,1.0,1.0,1.0
VE2,rf,egemaps,1,34,9,1.0,0.875,0.8571428571428571
VE2,rf,egemaps,2,35,8,1.0,0.875,0.8571428571428571
VE2,rf,egemaps,3,34,9,1.0,0.8,0.75
VE2,rf,egemaps,4,35,8,1.0,1.0,1.0
VE2,gbm,egemaps,0,34,9,0.8250000000000001,0.8,0.75
VE2,gbm,egemaps,1,34,9,0.65,0.575,0.6
VE2,gbm,egemaps,2,35,8,1.0,1.0,1.0
VE2,gbm,egemaps,3,34,9,0.9,0.8,0.75
VE2,gbm,egemaps,4,35,8,0.875,0.875,0.8888888888888888
VE2,xgb,egemaps,0,34,9,1.0,0.9,0.8888888888888888
VE2,xgb,egemaps,1,34,9,0.9,0.7,0.7272727272727273
VE2,xgb,egemaps,2,35,8,1.0,1.0,1.0
VE2,xgb,egemaps,3,34,9,1.0,0.9,0.8888888888888888
VE2,xgb,egemaps,4,35,8,1.0,0.875,0.8888888888888888
VE2,logreg,w2v2,0,34,9,0.9,0.775,0.8
VE2,logreg,w2v2,1,34,9,0.7,0.45,0.4444444444444444
VE2,logreg,w2v2,2,35,8,1.0,1.0,1.0
VE2,logreg,w2v2,3,34,9,0.7500000000000001,0.8,0.75
VE2,logreg,w2v2,4,35,8,1.0,1.0,1.0
VE2,rf,w2v2,0,34,9,0.8,0.775,0.8
VE2,rf,w2v2,1,34,9,0.65,0.45,0.4444444444444444
VE2,rf,w2v2,2,35,8,1.0,1.0,1.0
VE2,rf,w2v2,3,34,9,0.75,0.775,0.8
VE2,rf,w2v2,4,35,8,1.0,1.0,1.0
VE2,gbm,w2v2,0,34,9,0.55,0.425,0.5454545454545454
VE2,gbm,w2v2,1,34,9,0.6,0.45,0.4444444444444444
VE2,gbm,w2v2,2,35,8,1.0,1.0,1.0
VE2,gbm,w2v2,3,34,9,0.65,0.45,0.4444444444444444
VE2,gbm,w2v2,4,35,8,1.0,0.875,0.8571428571428571
VE2,xgb,w2v2,0,34,9,0.7,0.525,0.6666666666666666
VE2,xgb,w2v2,1,34,9,0.625,0.45,0.4444444444444444
VE2,xgb,w2v2,2,35,8,1.0,0.875,0.8571428571428571
VE2,xgb,w2v2,3,34,9,0.8,0.775,0.8
VE2,xgb,w2v2,4,35,8,1.0,0.875,0.8571428571428571
VI1,logreg,egemaps,0,36,9,1.0,1.0,1.0
VI1,logreg,egemaps,1,36,9,1.0,0.9,0.8888888888888888
VI1,logreg,egemaps,2,36,9,1.0,0.875,0.9090909090909091
